GOVERNMENT HOSPITALS 
7.920429,124.191007	BALINDONG MUNICIPAL HOSPITAL
14.9064392,120.869561	F.M. CRUZ ORTHOPEDIC AND GENERAL HOSPITAL
14.917111,120.766997	STA. CRUZ HOSPITAL
14.952436,120.948058	SNH BUSTOS CORPORATION
14.9526901,120.8845673	ALLIED CARE EXPERTS MEDICAL CENTER-BALIUAG
14.9566458,120.9124938	ST. VINCENT EENT HOSPITAL
14.957205,120.899817	DE JESUS GENERAL HOSPITAL
14.957615,120.902524	JESUS THE GOOD SHEPHERD HOSPITAL
14.957784,120.903555	CASTRO MATERNITY HOSPITAL AND MEDICAL CENTER, INC.
14.96858,120.91377	RUGAY GENERAL HOSPITAL
14.971611,120.897283	SAGRADA FAMILIA HOSPITAL
15.079704,120.940316	R DE C GALVEZ MEDICAL CENTER
15.145422,120.980767	EMMANUEL HOSPITAL
15.22015,120.56408	GONZALES GENERAL HOSPITAL
15.25011,120.84998	DR. APOLLO DUQUE MEMORIAL HOSPITAL
15.2517555,120.8592975	ST. JOHN MEDICAL AND MATERNITY CLINIC
15.260468,120.864879	CABIAO GENERAL HOSPITAL, INC.
15.307003,120.94624	NUEVA ECIJA GOOD SAMARITAN HEALTH CARE SYSTEM, INC.
15.318038,120.937052	DR. GLORIA LACSON GENERAL HOSPITAL
15.346248,121.026411	KALINGA SA KAPWA HEALTHCARE CENTER
15.458187,120.949109	NUEVA ECIJA DOCTORS HOSPITAL INC.
15.468622,120.963292	IMMACULATE CONCEPTION MEDICAL CENTER OF CENTRAL LUZON, INC
15.482378,120.97643	WESLEYAN UNIVERSITY MEDICAL CENTER
15.491848,120.9735	NUEVA ECIJA GOOD SAMARITAN HEALTH CARE SYSTEM, INC.
15.507394,120.967418	PREMIERE MEDICAL CENTER
15.6618212,120.7636043	GUIMBA GENERAL HOSPITAL
15.79629,120.99105	HEART OF JESUS HOSPITAL
14.908698,120.715233	OUR LADY OF ROSARY HOSPITAL, INC.
14.914843,120.718674	D.H. POLINTAN MEDICAL CLINIC
14.920399,120.577857	SAINT JOSEPH HOSPITAL OF REMEDIOS
14.944655,120.758154	E.D. LIM MATERNITY AND GENERAL HOSPITAL
14.952432,120.763765	APALIT DOCTORS HOSPITAL
14.953686,120.767708	ASCCOM MEDICAL CENTER
14.966995,120.632163	ROSARIO MEMORIAL HOSPITAL
14.97266,120.606073	PAMPANGA MEDICAL SPECIALIST HOSPITAL
15.014028,120.704899	MANABAT MATERNITY AND GENERAL HOSPITAL
15.01722,120.703571	MUÑOZ CLINIC
15.021026,120.698848	PAMPANGA EENT AND GENERAL HOSPITAL
15.02773,120.6916367	CEFERINO L. JIMENEZ CHILD CLINIC
15.031802,120.688918	V.L. MAKABALI MEMORIAL HOSPITAL, INC.
15.043568,120.674863	SAN FERNANDINO HOSPITAL
15.06535,120.65289	MOTHER TERESA OF CALCUTTA MEDICAL CENTER
15.084096,120.635606	ST. CLAIRE PSYCHIATRIC HOMECARE
15.096328,120.62418	OUR LADY OF MT. CARMEL MEDICAL CENTER
15.1253816,120.5987692	SACRED HEART MEDICAL CENTER
15.128807,120.607345	R.S. CLINIC & HOSPITAL
15.13516,120.585132	ST. CATHERINE OF ALEXANDRIA FOUNDATION AND MEDICAL CENTER
15.138369,120.593415	THE MEDICAL CITY - ANGELES
15.1399795,120.5943167	HOLY FAMILY MEDICAL CENTER
15.141113,120.595658	MOTHER OF PERPETUAL HELP HOSPITAL
15.1413517,120.5893439	ANGELES MEDICAL CENTER, INC.
15.1422553,120.5893063	DR. AMANDO L. GARCIA MEDICAL CENTER
15.1444586,120.5888504	DEE HWA LIONG FOUNDATION MEDICAL CENTER- ANGELES BRANCH
15.145065,120.59479	ANGELES UNIVERSITY FOUNDATION MEDICAL CENTER
15.147596,120.761509	ARAYAT MEDICAL AND MATERNITY HOSPITAL
15.151125,120.592397	CLINICA HENSON
15.153616,120.771601	DR. WILFREDO G. CORTES HOSPITAL INC.
15.155501,120.772101	LINGAP SPECIALTY HOSPITAL
15.1571795,120.7734856	HOLY TRINITY PLAZANG LUMA MEDICAL CLINIC
15.1623586,120.5553308	CLARK CENTRAL MEDICAL CENTER
15.177352,120.62346	DEE HWA LIONG FOUNDATION MEDICAL CENTER
15.1823434,120.5299759	OUR LADY OF MT. CARMEL MEDICAL CENTER - CLARK
15.189402,120.58376	ST. RAPHAEL FOUNDATION MEDICAL CENTER
15.230517,120.571665	TIGLAO MEDICAL CENTER FOUNDATION, INC.
15.28714,120.569533	DIVINE MERCY HOSPITAL
15.320221,120.657684	M. NAPEÑAS MULTISPECIALTY HOSPITAL
15.3266287,120.6489385	IMMACULATE CONCEPCION POLYCLINIC AND HOSPITAL
15.332127,120.566234	CAPAS MULTI-SPECIALTY HOSPITAL
15.458541,120.608944	HOLY TRINITY HOSPITAL
15.475987,120.579194	CENTRAL LUZON DOCTORS HOSPITAL
15.48476,120.592917	RAMOS GENERAL HOSPITAL
15.49086,120.59154	TALON GENERAL HOSPITAL
15.491344,120.597804	JECSONS MEDICAL CENTER
15.608497,120.605633	GERONA HOSPITAL OF THE SACRED HEART
15.666129,120.565507	JOWELL GENERAL HOSPITAL
15.66634,120.558667	MIGUEL CLINIC
15.670903,120.582601	SING MEDICAL SERVICES DIAGNOSTIC CENTER AND HOSPITAL
15.672095,120.581861	RAYOS-VALENTIN HOSPITAL
15.689332,120.414375	SEÑOR STO NIÑO HOSPITAL
15.690318,120.405709	SALVADOR GENERAL HOSPITAL
14.77459,120.30775	GEORGE DEWEY MEDICAL AND WELLNESS CENTER
14.82392,120.27229	UNIHEALTH - BAYPOINTE HOSPITAL AND MEDICAL CENTER, INC.
14.82999,120.28703	MOTHER AND CHILD HOSPITAL
14.835552,120.290074	ALFEROS HOSPITAL
14.83595,120.28679	RIDON'S ST. JUDE MEDICAL CENTER
14.83727,120.28598	PERPETUAL HELP HOSPITAL
14.838746,120.284829	AFABLE MEDICAL CENTER AMBULATORY CARE
14.8388901,120.2827835	ZAMBALES MEDICAL MISSION GROUP COOP WOMENS AND CHILDRENS HOSPITAL
14.846728,120.291147	DIVINE SPIRIT GENERAL HOSPITAL
14.84751,120.26903	OUR LADY OF LOURDES INTERNATIONAL MEDICAL CENTER
15.3207,119.98745	STA. CECILIA MEDICAL CENTER
13.5389829,122.3986263	TUY GENERAL HOSPITAL
13.6955265,122.4662907	ST. MARTIN GENERAL HOSPITAL
13.72104,122.24929	ZIGZAG HOSPITAL
13.73341,121.42286	DUQUE GENERAL HOSPITAL
13.752496,120.940277	MABINI GENERAL HOSPITAL
13.7556712,121.0601869	ST. PATRICK'S HOSPITAL AND MEDICAL CENTER, INC.
13.759625,121.058673	BATANGAS HEALTH CARE HOSPITAL JESUS OF NAZARETH
13.7821185,121.0559878	UNITED DOCTORS OF ST. CAMILLUS DE LELLIS HOSPITAL
13.78362,122.08835	SAN JUAN DOCTORS HOSPITAL INC
13.79143,121.00744	DR. MARIO D. BEJASA GENERAL HOSPITAL
13.793823,121.186362	MARY MEDIATRIX MEDICAL CENTER
13.819716,121.135865	ST. JAMES THE GREATER HOSPITAL
13.8494138,121.9944374	CHRIST THE SAVIOUR GENERAL HOSPITAL, INC.
13.8753389,121.3483474	METROPOLITAN MEDICAL CENTER - NASUGBU BRANCH
13.8855967,122.263473	HOSPITAL DE SAN JUAN BAUTISTA
13.88757,120.911604	METRO LEMERY MEDICAL CENTER
13.8958998,121.2928696	TAAL POLYMEDIC HOSPITAL AND MEDICAL CENTER
13.9201,122.10276	SALAZAR POLYCLINIC
13.921565,121.105559	METRO SAN JOSE MEDICAL CENTER
13.93011,121.42064	BAUAN DOCTORS GENERAL HOSPITAL
13.94194,121.16423	DRA. ARACELI D. MENDOZA MEMORIAL MEDICAL CLINIC
13.949117,121.6098859	ST. NICHOLAS DOCTORS HOSPITAL
13.9538356,120.7284204	MEDICAL CENTER WESTERN BATANGAS
13.959769,120.803228	QUEEN MARY HOSPITAL
13.9683186,121.1665285	METRO LIPA MEDICAL CENTER
13.9727167,121.6808	LEMERY DOCTORS MEDICAL CENTER
13.9757,121.6903833	ASSUMPTA MEDICAL HOSPITAL
13.979909,122.512319	MATAAS NA KAHOY COMMUNITY HOSPITAL
13.9921883,121.8764119	DIVINE LOVE GENERAL HOSPITAL
14.049952,121.156979	ST. NAZARIUS MEDICAL CLINIC
14.057475,120.657653	CENTRAL AZUCARRERA DON PEDRO HOSPITAL
14.06377,120.893703	STO. TOMAS GENERAL HOSPITAL
14.065076,120.633507	JABEZ MEDICAL CENTER
14.082048,121.145891	HM CORACHEA GENERAL HOSPITAL
14.08437,121.15190	GONZALES MEDICAL AND CHILDRENS HOSPITAL
14.109953,121.143076	ST. VINCENT DE PAUL HOSPITAL
14.110433,120.933625	MADONNA GENERAL HOSPITAL
14.110533,120.934625	SOLOMONS CLINIC
14.110992,121.025866	ST. ANDREW HOSPITAL
14.131283,120.904777	NASUGBU DOCTORS GENERAL HOSPITAL
14.1622,121.6383833	GOLDEN GATE GENERAL HOSPITAL
14.26938,120.99955	DIVINE CARE HOSPITAL MULTI SERVICES CORP.
14.27341,120.99708	ST. FRANCES CABRINI MEDICAL CENTER
14.279583,120.864505	LIPA DOCTORS HOSPITAL
14.27962,120.94252	PALMA-MALALUAN HOSPITAL
14.300676,120.72971	HOLY FAMILY MEDICAL CLINIC
14.320659,120.958401	C.P. REYES HOSPITAL
14.3271911,121.0134702	LITTLE ANGELS MEDICAL HOSPITAL
14.3360701,121.0810776	N. L. VILLA MEMORIAL MEDICAL CENTER
14.3821422,120.8808788	SAN ANTONIO MEDICAL CENTER OF LIPA, INC.
14.4789833,121.21405	OUR LADY OF CAYSASAY MEDICAL CENTER
14.4793333,121.2241667	SILVA'S CLINIC
14.47975,120.89604	LIPA MEDIX MEDICAL CENTER
14.48149,120.91117	DR. KISON'S CLINIC
14.5623505,121.2028679	DANIEL O. MERCADO MEDICAL CENTER
14.57079,121.1314	STO. NIÑO MEDICAL CLINIC
14.5715001,121.4254368	BALAYAN BAYVIEW HOSPITAL AND MEDICAL CENTER
14.5891977,121.1566234	UNTALAN GENERAL HOSPITAL
13.6208668,122.4898914	VELAZCO HOSPITAL
13.7232846,122.225312	ST. PAUL HOSPITAL CAVITE, INC.
13.781064,121.163542	ADVENTIST UNIVERSITY OF THE PHILIPPINES HEALTH SERVICE
13.8824,120.9201167	CAVITE MEDICAL CENTER
13.910584,122.4392073	HCGC MEDICAL PLAZA HOSPITAL
13.95363,121.60903	TAGAYTAY MEDICAL CENTER, INC.
13.9711833,121.6872333	KAWIT MATERNITY AND GENERAL HOSPITAL
14.077822,120.813663	OUR LADY OF THE WAY MEDICAL AND PEDIATRIC CLINIC
14.0839563,121.3127482	SSMC SATELLITE HOSPITAL - ROSARIO BRANCH
14.139426,120.83211	ANDRESS BONIFACIO MEMORIAL HOSPITAL
14.177639,120.788331	PRIME GLOBAL CARE MEDICAL CENTER, INC.
14.247588,120.982048	SILANG DOCTORS HOSPITAL
14.255028,121.4681901	ESTRELLA HOSPITAL
14.264056,120.91573	SSMC SATELLITE HOSPITAL
14.27568,121.12625	ST. MAZENOD HOSPITAL, INC.
14.279416,120.737485	DE LA SALLE UNIVERSITY MEDICAL CENTER
14.289033,120.906736	GENTRI MEDICAL CENTER AND HOSPITAL, INC.
14.2909329,120.9039924	GENTRI DOCTORS MEDICAL CENTER
14.32792,120.77183	MOLINO DOCTORS HOSPITAL
14.344881,120.983566	SOUTHEAST ASIAN MEDICAL CENTER INC.
14.3449256,120.8600312	UNIHEALTH TAGAYTAY HOSPITAL MEDICAL CENTER INC.
14.3466291,121.2421767	M.V. SANTIAGO MEDICAL CENTER - FCIE BRANCH
14.3486721,120.9398577	EMILIO AGUINALDO COLLEGE MEDICAL CENTER
14.36222,121.32963	CATALAN MEDICAL HOSPITAL
14.3662325,121.0505256	JNRAL FAMILY CORPORATION HOSPITAL
14.382157,120.981689	ST. MICHAEL MEDICAL HOSPITAL
14.390059,120.832629	STO. NIÑO DE TANZA MEDICAL AND DIAGNOSTIC CENTER
14.3903514,120.8490622	TANZA FAMILY GENERAL HOSPITAL
14.394257,120.977381	METRO SOUTH MEDICAL CENTER
14.396572,120.863023	GENERAL TRIAS MATERNITY AND PEDIATRIC HOSPITAL
14.3979441,120.8680871	DIVINE GRACE MEDICAL CENTER
14.413314,120.857534	CONTRERAS MEDICAL CLINIC
14.4142964,120.8565992	OUR SAVIOR HOSPITAL, INC.
14.419641,120.967871	BACOOR DOCTORS MEDICAL CENTER
14.425746,120.87402	ST. MARTIN MATERNITY AND PEDIATRIC HOSPITAL
14.43052,121.427433	IMUS FAMILY HOSPITAL,INC.
14.4371667,121.3349167	NAIC DOCTORS HOSPITAL, INC.
14.440528,120.929861	OUR LADY OF THE PILLAR MEDICAL CENTER
14.449246,120.933364	CRISOSTOMO GENERAL HOSPITAL
14.45944,120.93198	SAN JOSE HOSPITAL AND TRAUMA CENTER
14.464133,120.9589	ST. DOMINIC MEDICAL CENTER, INC.
14.572293,121.1460398	MEDICAL CENTER IMUS
14.5724667,121.12195	FIRST FILIPINO SAINT HOSPITAL
14.58025,121.11389	ASIA MEDIC FAMILY HOSPITAL AND MEDICAL CENTER
14.7118983,122.3774216	DLS-DR. RODOLFO R. POBLETE MEMORIAL HOSPITAL
14.7606032,122.2375039	BAUTISTA HOSPITAL
13.658858,120.864013	STS. FRANCIS AND PAUL GENERAL HOSPITAL
13.791729,120.958552	SOUTHERN LUZON HOSPITAL AND MEDICAL CENTER
13.94889,121.079877	PAETE GENERAL HOSPITAL
13.9531167,120.88265	HEALTHSERV LOS BAÑOS MEDICAL CENTER
13.970518,120.639293	NEW SINAI MDI HOSPITAL
13.97433,122.58706	UPH - DR. JOSE G. TAMAYO MEDICAL CENTER
13.9803167,121.7895667	GAMEZ HOSPITAL
14.0109699,122.5904233	CALAMBA DOCTORS HOSPITAL
14.069143,121.3223299	IMMACULATE CONCEPCION HOSPITAL, INC.
14.071642,121.254602	ST. CLEMENT MEDICAL CLINIC
14.1115303,121.3937225	SAN PABLO COLLEGES MEDICAL CENTER
14.1147167,121.5519333	SAN PABLO DOCTORS HOSPITAL
14.132083,121.145839	BALIBAGO POLYCLINIC AND HOSPITAL, INC.
14.148459,120.852239	BIÑAN DOCTOR'S HOSPITAL, INC.
14.1708892,121.2431002	LOS BAÑOS DOCTORS HOSPITAL
14.187635,121.125106	ST. JOHN THE BAPTIST MEDICAL CENTER, INC.
14.221772,120.883947	MARIAN HOSPITAL OF SANTA ROSA INC.
14.269808,121.414166	SANTA CRUZ LAGUNA POLYMEDIC, INC.
14.272318,121.455718	PAGSANJAN MEDICAL CLINIC INC.
14.272611,121.452718	CHRISTIAN GENERAL HOSPITAL
14.2748043,121.4171192	LAGUNA DOCTORS HOSPITAL, INC.
14.278599,121.417257	LAGUNA HOLY FAMILY HOSPITAL
14.280875,121.12004	ST. JAMES HOSPITAL, INC.
14.284634,120.99659	SAN JOSE HOSPITAL AND TRAUMA CENTER, INC.
14.287136,121.095415	SANTA ROSA HOSPITAL AND MEDICAL CENTER
14.3032739,121.1213866	OUR LADY OF PIAT POLYCLINIC AND HOSPITAL
14.327336,120.931198	EVANGELISTA MEDICAL AND SPECIALTY HOSPITAL, INC.
14.3315353,120.9569576	COMMUNITY GENERAL HOSPITAL OF SAN PABLO CITY, INC.
14.3316328,121.0475925	UNIHEALTH SOUTHWOODS HOSPITAL AND MEDICAL CENTER, INC.
14.342305,121.058248	FAMILY CARE HOSPITAL, INC.
14.346745,121.065374	WESTLAKE MEDICAL CENTER
14.353471,121.073037	DIVINE MERCY HOSPITAL, INC.
14.355078,121.06712	SAN PEDRO DOCTORS HOSPITAL INCORPORATION
14.395774,120.984927	PAMANA MEDICAL CENTER
14.419637,121.451206	SINILOAN PIONEER GENERAL HOSPITAL, INC.
14.437737,120.892712	JESUS THE SAVIOR HOSPITAL
14.5472011,121.2699947	ST. JUDE FAMILY HOSPITAL
14.6091167,121.1066833	CALAMBA MEDICAL CENTER
13.577762,122.3818176	UNITED CANDELARIA DOCTORS HOSPITAL
13.8142099,121.0379791	LUCENA UNITED DOCTORS HOSPITAL AND MEDICAL CENTER
13.827093,121.394451	ST. CECILIA HOSPITAL
13.848696,121.964405	DR. ERLINDA P. TOLENTINO MEDICAL CLINIC AND HOSPITAL
13.8708167,120.9748167	MOUNT CARMEL DIOCESAN GENERAL HOSPITAL
13.883095,122.257049	LOPEZ ST. JUDE GENERAL HOSPITAL CORP.
13.90096,121.05336	LUCBAN MMG HOSPITAL
13.9104719,121.2945085	GREG HOSPITAL-SARIAYA, INC.
13.925017,121.151955	JANE COUNTY HOSPITAL, INC.
13.9448705,121.6309154	LUCENA MMG GENERAL HOSPITAL
13.94823,120.7474	DEL CARMEN MEDICAL CLINIC
13.955834,122.286509	ST. PETER GENERAL HOSPITAL
13.99041,121.169842	ST. ANNE GENERAL HOSPITAL, INC.
14.0003424,122.4136885	PETER PAUL MEDICAL CENTER OF CANDELARIA, INC.
14.000746,121.924099	EMIL JOANNA GENERAL HOSPITAL
14.041938,120.832418	RAKKK PROPHET MEDICAL CENTER, INC.
14.100027,120.827928	SOLER GENERAL HOSPITAL
14.305009,121.044309	TAYABAS COMMUNITY HOSPITAL, INC.
14.4438174,121.499358	SAN DIEGO DE ALCALA GENERAL HOSPITAL
14.4619167,121.1925667	LIWAG MEDICAL CLINIC, INC.
14.5469409,121.1553744	HOLY ROSARY HOSPITAL
13.5957312,122.3228391	QUEEN MARY HELP OF CHRISTIAN HOSPITAL INC.
13.6319421,122.456824	ST. MATTHEUS MEDICAL HOSPITAL
13.8046999,121.0275726	TAYTAY MATERNITY AND CHILD CARE CENTER
13.81515,122.09875	SAN ISIDRO HOSPITAL, INCORPORATED
13.9078282,121.9284755	H-VILL HOSPITAL
13.950389,121.171261	UNCIANO COLLEGES & GENERAL HOSPITAL
13.9724833,121.37975	ANTIPOLO MEDICAL HOSPITAL
14.1054069,122.0109044	OSPITAL NG BARAS
14.282162,120.994196	ANGONO MEDICS HOSPITAL
14.31858,121.11065	N- MED-CARE HOSPITAL
14.3498497,121.0413666	TANAY GENERAL HOSPITAL, INCORPORATED
14.5237333,121.1485667	ANTIPOLO DOCTORS HOSPITAL
14.56455,121.2060833	TAYTAY DOCTORS MULTI SPECIALTY HOSPITAL, INCORPORATED
14.572142,121.177743	MARRERO ACOP PEDIATRIC TRIAGE AND HYDRATION CLINIC
14.5741917,121.1434816	MANILA EAST MEDICAL CENTER
14.5763021,121.1163175	METRO RIZAL DOCTORS HOSPITAL
14.5896238,121.1699509	CLINICA ANTIPOLO HOSPITAL AND WELLNESS CENTER, INC.
14.5906352,121.1301457	BINANGONAN LAKEVIEW HOSPITAL
14.6121589,121.1436593	MORONG DOCTORS HOSPITAL
14.612159,121.143658	DIONISIO M. CORNEL MEDICAL CENTER
14.612689,121.102976	ARNAIZ HOSPITAL
14.624602,121.125652	BLESSED TRINITY MATERNITY AND MEDICAL HOSPITAL
14.6810637,121.1140779	PADRE PIO MATERNITY AND MEDICAL HOSPITAL, INC.
14.6923,121.1155	SORIANO-LEYBLE MEDICAL AND MATERNITY HOSPITAL
14.7475883,121.6499943	CARLOS MEDICAL AND MATERNITY HOSPITAL
14.7517918,121.9478157	PAG-ASA HOSPITAL
12.3454,121.06566	ZAPANTA MATERNITY & GENERAL HOSPITAL
12.3535,121.06534	WESTMIN UNITED DOCTORS HOSPITAL CO.
12.3557,121.06597	ST. MAGDALENE HOSPITAL
12.83149,120.76713	ST. MARTIN'S MISSION HOSPITAL
13.03369,121.48894	DE LOS REYES MEDICAL CLINIC
13.03596,121.48347	ST. PAUL GENERAL HOSPITAL
13.05178,121.41975	GRACE MISSION HOSPITAL
13.064337,121.492359	PINAMALAYAN DOCTORS HOSPITAL
13.15303,121.249	UMALI MEDICAL CLINIC
13.169372,121.255057	ST. LAURENCE HOSPITAL
13.18214,121.28308	SEÑOR TESORO HOSPITAL
13.191014,121.284112	MINA DE ORO GENERAL HOSPITAL
13.39028,121.166	MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICE COOPERATIVE OF ORIENTAL MINDORO
13.3962,121.16907	MA. ESTRELLA GENERAL HOSPITAL
13.40905,121.17527	STA. MARIA VILLAGE CLINIC, INC.
13.41166,121.18221	HOSPITAL OF THE HOLY CROSS
13.41166,121.18221	LUNA GOCO MEDICAL CENTER
13.41896,121.18757	CHILDREN'S MEDICAL CLINIC
8.535247,117.436189	RIO TUBA NICKEL FOUNDATION, INC. HOSPITAL
8.78064,117.83885	SAGRADO MEDICAL AND CHILDREN'S CLINIC
8.78134,117.83727	BERACHAH MEDICAL CLINIC
8.78801,117.83744	LEONCIO GENERAL HOSPITAL
9.73538,118.73369	MEDICAL MISSION GROUP - PUERTO PRINCESA CITY COOPERATIVE HOSPITAL
9.76413,118.74773	PALAWAN ADVENTIST HOSPITAL
10.31636,119.32621	PALAWAN BAPTIST HOSPITAL
12.3850700,121.9868900	ISIAH MEDICAL CENTER
12.3991400,121.9839100	TABLAS DOCTORS HOSPITAL
6.6982398,121.9684601	BASILAN COMMUNITY HOSPITAL, INC.
6.7003398,121.9705811	JUAN S. ALANO MEMORIAL HOSPITAL, INC.
6.7052202,121.9728775	INFANTE HOSPITAL MANAGEMENT CORPORATION
7.6981702,122.1390381	EASTERNSUN MEDICAL AND DIAGNOSTIC CLINIC
8.5714903,123.3464127	DIPOLOG MEDICAL CENTER
8.5806904,123.3534698	ZAMBOANGA DEL NORTE SERVICE COOPERATIVE HOSPITAL
8.5841103,123.3448410	OSPITAL NG KABATAAN NG DIPOLOG, INC.
6.9050698,122.0798569	ZAMBOANGA PENINSULA MEDICAL CENTER
6.90750,122.07563	ZAMBOANGA PUERICULTURE CENTER MATERNITY LYING-IN HOSPITAL
6.90808,122.06816	BRENT HOSPITAL AND COLLEGES, INC.
6.90921,122.06752	UNIVERSIDAD DE ZAMBOANGA MEDICAL CENTER
6.91466,122.0766678	CIUDAD MEDICAL ZAMBOANGA
6.9152799,122.079483	ZAMBOANGA DOCTORS HOSPITAL, INC.
6.9233499,122.0790482	WESTERN MINDANAO MEDICAL CENTER
7.6149001,123.3390579	CHAVEZ MEDICAL CLINIC
7.8234701,123.433609	BORBON GENERAL HOSPITAL
7.8243699,123.4435501	AISAH MEDICAL HOSPITAL
7.8248901,123.4375076	HOFILEÑA HOSPITAL
7.8249898,123.4392929	PAGADIAN CITY MEDICAL CENTER
7.8250699,123.4191437	JAMELARIN HOSPITAL
7.82517,123.4413834	J. CABAHUG HOSPITAL
7.8283801,123.4434814	METRO PAGADIAN SPECIALIST HOSPITAL, INC.
7.8301401,123.4434586	PAGADIAN DOCTORS HOSPITAL
8.0654097,123.5361023	EUSER MEDICAL CLINIC
8.0831003,123.4917679	BLANCIA HOSPITAL
8.0927095,123.4865265	SALUG VALLEY MEDICAL CENTER
8.0964499,123.48806	SS LUMAPAS HOSPITAL
7.64222,122.9338913	AMOROSO MEDICAL CLINIC
7.6438799,122.9376831	IMELDA MEDICAL CLINIC
7.7283101,123.0581665	ST. JOHN GENERAL HOSPITAL
7.7284398,123.0597916	REDOBLE MEDICAL CLINIC
7.7829299,122.586113	DR. HENRY M. DE VILLA MEMORIAL HOSPITAL
7.7919002,122.5475235	IPIL DOCTOR'S HOSPITAL
7.7958298,122.7622833	KABASALAN GENERAL HOSPITAL
7.79638,122.7673035	PATHFINDER ESTATE HOSPITAL
7.7997398,122.6127777	M. SIMON HOSPITAL
7.8095498,122.6764069	DANAO-SALE HOSPITAL
7.8717699,122.5646591	ROMEO B. SIBUD COUNTY HOSPITAL
13.044711,123.448778	ZAPANTA GENERAL HOSPITAL
13.133807,123.743538	DR. ESTEBAN V. ANTE MEMORIAL HOSPITAL
13.1381443,123.7409582	ESTEVEZ MEMORIAL HOSPITAL INC.
13.139751,123.731012	AGO GENERAL HOSPITAL
13.143414,123.7515262	TANCHULING HOSPITAL
13.146378,123.7350546	AQUINAS UNIVERSITY HOSPITAL, FOUNDATION, INC.
13.148491,123.711778	LUDOVICE GENERAL HOSPITAL
13.149818,123.753218	ALBAY DOCTORS HOSPITAL
13.190831,123.603109	GATA GENERAL HOSPITAL
13.191594,123.600025	RETUERMA GENERAL HOSPITAL
13.235397,123.546364	DR. SOFRONIO B. GARCIA MEMORIAL HOSPITAL
13.235397,123.546364	PERPETUAL HELP CLINIC
13.250482,123.511839	DR. MANUEL R. REBUENO MEMORIAL HOSPITAL
13.262912,123.481384	CASIMIRO GENERAL HOSPITAL
13.262912,123.481384	LUMBISRANCES GENERAL HOSPITAL
13.29401,123.79364	SAINT MICHAEL GENERAL HOSPITAL
13.296974,123.493727	ISIP GENERAL HOSPITAL
13.3158799,123.6442995	HOLY FACE REHAB CTR FOR MENTAL HEALTH
13.353742,123.729999	CABREDO GENERAL HOSPITAL
13.357581,123.728343	TABACO COLLEGE HOSPITAL
13.3590366,123.7322626	JAIME B. BERCES MEMORIAL HOSPITAL
13.365617,123.730866	RICO'S HOSPITAL
13.370546,123.713844	DR. AMANDO D. COPE MEMORIAL HOSPITAL
13.402909,123.707741	LIANKO'S MEDICAL CLINIC
13.456116,123.681128	DR. BERNARDO B. CORRAL MEMORIAL HOSPITAL
13.473848,123.658927	G. GONZALES MEDICAL CLINIC
14.110735,122.946795	SANTISSIMA TRINIDAD HOSPITAL
14.116758,122.962002	LEON D. HERNANDEZ MEMORIAL HOSPITAL
14.1202,122.938825	OUR LADY OF LOURDES HOSPITAL
14.1206260,122.9612280	STO. NIÑO HOSPITAL
14.146586,122.83069	DR. MIGUEL V. ALEGRE HOSPITAL
14.154444,122.830561	ST. JOHN THE APOSTLE HOSPITAL
14.171784,122.633872	ST. JUDE HOSPITAL OF LABO
14.189156,122.386248	ROSARY OF VIRGIN MARY HOSPITAL
14.292458,122.693924	JOSE PANGANIBAN PRIMARY HOSPITAL SERVICE COOPERATIVE
13.40495,123.36935	LOURDES HOSPITAL
13.407943,123.36527	DON HENRICO GENERAL HOSPITAL
13.41349,123.40641	STA. MARIA JOSEFA FOUNDATION HOSPITAL
13.41469,123.39012	RINCONADA MEDICAL CENTER
13.42014,123.40535	OUR LADY OF MEDIATRIX HOSPITAL
13.45785,123.36441	DR. ROBOSA HOSPITAL
13.45817,123.364	ST. JUDE CLINIC AND HOSPITAL
13.615897,123.192648	NICC DOCTORS HOSPITAL
13.6185128,123.1971645	UNIVERSIDAD DE STA. ISABEL MOTHER SETON HOSPITAL
13.62268,123.19021	ST. JOHN HOSPITAL, INC.
13.627488,123.18498	DR. NILO O. ROA MEMORIAL FOUNDATION HOSPITAL
13.693478,123.492878	ST. VINCENT DE FERRER HOSPITAL
13.697728,123.49193	SAINT JOHN HOSPITAL - GOA
13.76289,122.96228	OUR LADY OF SALVACION HOSPITAL
13.5844160,124.2367520	IMMACULATE HEART OF MARY HOSPITAL
13.5866030,124.2396480	DR. ANTONIO B. ZANTUA MEMORIAL HOSPITAL
13.9152020,124.2974010	OUR LADY OF FATIMA HOSPITAL
12.192786,123.857348	ST. JOSEPH MEDICAL CLINIC
12.193091,123.858323	DR. LITO DE LUNA BELARMINO MEDICAL HOSPITAL
12.217109,123.50944	DE CASTRO HOSPITAL FOUNDATION INC.
12.217694,123.510582	DUBONGCO MEDICAL CLINIC
12.359402,123.625529	ST. VINCENT HOSPITAL
12.364048,123.626024	MASBATE FAMILY MEDICAL CLINIC
12.367593,123.619903	ST. MARTIN DE PORRES MEDICAL CLINIC
12.368281,123.623458	MASBATE DOCTORS HOSPITAL
12.66613,123.88749	BULUSAN FAMILY CLINIC
12.67206,123.876085	ST. JUDE MEDICAL CLINIC
12.750333,124.131273	GUYSAYKO GENERAL HOSPITAL
